show_title,language,genres,summary
Undercover,English,"('Drama', 'Thriller', 'Mystery')","<p><b>Undercover</b> is a drama series in which a defence lawyer tries to finally uncover the truth of an old miscarriage of justice, while her husband goes to any lengths to conceal the truth about his own past.</p>"
Krapopolis,English,"('Comedy', 'Fantasy')","<p>Set in mythical ancient Greece, <b>Krapopolis</b> is centered on a flawed family of humans, gods and monsters that tries to run one of the world's first cities without killing each other.</p>"
Spinning Out,English,"('Drama', 'Sports')","<p><b>Spinning Out</b> is an edgy drama series about Kat Baker, an up-and-coming, high-level single skater who's about to turn in her skates after a disastrous fall took her off the competition track. When Kat seizes an opportunity to continue her career as a pair skater with a talented bad-boy partner, she risks exposing a fiercely kept secret that could unravel her entire life. On and off the ice, Kat and her new partner will face daunting odds, injury to body and soul, financial sacrifice, and even potential mental breakdown on their way to realizing their Olympic dream.</p>"
Guillermo del Toro's Cabinet of Curiosities,English,"('Fantasy', 'Horror', 'Supernatural')","<p>In <b>Cabinet of Curiosities</b>, acclaimed Academy Award-winning filmmaker and creator, executive producer and co-showrunner Guillermo del Toro has curated a collection of unprecedented and genre-defining stories meant to challenge our traditional notions of horror. From macabre to magical, gothic to grotesque or classically creepy, these eight equally sophisticated and sinister tales (including two original works by del Toro) will be brought to life by a team of writers and directors personally chosen by del Toro.</p>"
Messiah,English,"('Drama', 'Thriller', 'Mystery')","<p><b>Messiah</b> explores the lines among religion, faith and politics. It chronicles the modern world's reaction to a man who first appears in the Middle East creating a groundswell of followers around him claiming he is the Messiah. Is he sent from God or is he a dangerous fraud bent on dismantling the world's geopolitical order? The story unfolds from multiple points of view, including a young CIA agent, an Israeli Shin Bet officer, a Latino preacher and his Texan daughter, a Palestinian refugee and the media, among others.</p>"
The Clubhouse: A Year with the Red Sox,English,"('Sports',)","<p>Follows the Boston Red Sox during the 2024 MLB season with unprecedented access to players, coaches and executives.</p>"
Hit & Run,English,"('Drama', 'Action', 'Thriller')","<p>A happily married man's life is turned upside down when his wife is killed in a mysterious hit and run accident in Tel Aviv. Grief-stricken and confused, he searches for his wife's killers, who have fled to the U.S. With the help of an ex-lover, he uncovers disturbing truths about his beloved wife and the secrets she kept from him.</p>"
Chesapeake Shores,English,"('Drama', 'Family', 'Romance')","<p>The multi-generational family drama of <b>Chesapeake Shores</b> follows Abby O'Brien, a high-powered career woman, divorcee and mother to twin daughters, who makes a trip from New York City to her hometown of Chesapeake Shores. Her visit home brings Abby face to face with her past, including her high school sweetheart Trace, her uncompromising father Mick and her esteemed grandmother Nell. Abby realizes the toll her career has taken on her ability to be a hands-on mother to her daughters, and considers a permanent move to Chesapeake Shores.</p><p>Based on the novels of the same name by New York Times bestselling author Sherryl Woods.</p>"
Pop Star Academy: KATSEYE,English,"('Music',)","<p><b>Pop Star Academy: KATSEYE </b>follows 20 contestants from around the world over a year-long journey as they compete to become KATSEYE, a one-of-a-kind global girl group formed using KPOP methodologies. With unprecedented access, unfolding over eight episodes, the result is a compelling portrayal of the road to international stardom, including insight into the unique training and development program developed by HYBE and Geffen Records.</p>"
Somebody Feed Phil,English,"('Food', 'Travel')","<p>""Everybody Loves Raymond"" creator Phil Rosenthal travels the globe to take in the local cuisine and culture of Bangkok, Lisbon, Mexico City and more.</p>"
Selling Sunset,English,(),<p>The elite real estate brokers at The Oppenheim Group sell the luxe life to affluent buyers in LA. The drama ramps up when a new agent joins the team.</p>
The American Barbecue Showdown,English,"('Food', 'Travel')",<p>Eight of the country's best backyard smokers and pitmasters vie for the title of American Barbecue Champion in a fierce but friendly faceoff.</p>
Instant Dream Home,English,"('DIY',)",<p>A team of rapid-fire renovators takes big risks and makes painstaking plans to transform families' homes from top to bottom in just 12 hours.</p>
Six Nations Rugby,English,(),"<p>Gabby Logan, John Inverdale and Jason Mohammed present live Six Nations Rugby coverage for the BBC.</p>"
Anne Rice's Mayfair Witches,English,"('Drama', 'Fantasy', 'Supernatural')","<p><b>Anne Rice's Mayfair Witches</b> centers on an intuitive young neurosurgeon who discovers that she is the unlikely heir to a family of witches. As she grapples with her newfound powers, she must contend with a sinister presence that has haunted her family for generations.</p>"
Dawn of the Croods,English,"('Comedy', 'Adventure', 'Family')","<p>The world's first family is back and funnier than ever in this all-new original family sitcom! Eep, Grug, Thunk, Ugga, Sandy and Gran are taking the prehistoric Croodacious era by storm as they deal with modern-day problems for the first time ever in history. School, slumber parties and elections are some of the hilarious wonders of modern life The Croods are discovering!</p>"
3Below: Tales of Arcadia,English,"('Action', 'Adventure', 'Fantasy')","<p>After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.</p>"
Where Is Private Dulaney?,English,"('Crime', 'Mystery')","<p>In 1979, Private Leroy Dulaney vanishes from his post at Camp Lejeune. The Marine Corps say he went AWOL, but his mother Carol knows in her gut that something is wrong. Determined to find out what happened to her son, she undertakes her own investigation. She could have never imagined what she would uncover: a world of drugs, rumored satanic cults, and a possible serial killer.</p>"
When They See Us,English,"('Drama', 'Crime')",<p>Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.</p>
"Lies, Deceit and Betrayal",English,"('Crime',)","<p><b>Lies, Deceit and Betrayal</b> tells the stories of the most audacious scams in recent history, scams that anyone could fall for. In each episode, viewers are introduced to a different devious criminal who went to great lengths to con their victims and ruin lives in the process. From romance fraudsters to health scammers, the stories are told through first-person testimony.</p>"
The Conners,English,"('Comedy', 'Family')","<p>After a sudden turn of events, the Conners are forced to face the daily struggles of life in Lanford in a way they never have before. This iconic family – Dan, Jackie, Darlene, Becky and D.J. – grapples with parenthood, dating, an unexpected pregnancy, financial pressures, aging and in-laws in working-class America. Through it all, the fights, the coupon cutting, the hand-me-downs, the breakdowns – with love, humor and perseverance, the family prevails.</p>"
Greenhouse Academy,English,"('Drama', 'Family', 'Mystery')","<p>When teen siblings Hayley and Alex enter an elite boarding school, they find rivalry, romance and a mystery related to the recent loss of their mom.</p>"
Kim's Convenience,English,"('Drama', 'Comedy', 'Family')","<p><b>Kim's Convenience</b> is the funny, heartfelt story of The Kims, a Korean-Canadian family, running a convenience store in downtown Toronto. Mr. and Mrs. Kim ('Appa' and 'Umma') immigrated to Toronto in the 80's to set up shop near Regent Park and had two kids, Jung and Janet who are now young adults. However, when Jung was 16, he and Appa had a major falling out involving a physical fight, stolen money and Jung leaving home. Father and son have been estranged since.</p><p>Now, Appa and Umma run the store along with Janet who is studying photography at art school. Meanwhile Jung, who secretly stays in contact with Umma and Janet, is trying to turn his life around and recently landed a job at a car rental agency. The world of Kim's Convenience is real, colourful and urban - a diverse landscape of people and places and at the heart is the Kim family and their store. While the family continues to work and live, finding humour in the everyday tasks of running the store, they long for the day when the rift between Appa and Jung is mended and the family is whole once again.</p>"
No Good Nick,English,"('Drama', 'Comedy', 'Family')","<p>A family finds their lives turned upside down when a teenage con artist shows up on their doorstep, claiming she's a distant relative.</p>"
F1: The Academy,English,"('Sports',)",<p>Fifteen young women break barriers in one of the world's most demanding sports as they race to get a female driver back on the Formula 1 grid.</p>
Sherlock,English,"('Drama', 'Crime', 'Mystery')","<p>Sherlock Holmes and Dr. John Watson's adventures in 21st Century London. A thrilling, funny, fast-paced contemporary reimagining of the Arthur Conan Doyle classic.</p>"
Richie Rich,English,"('Children',)","<p>An animated series based on the comic book of the same name. <b>Richie Rich</b>, the world's richest kid, gets involved in various adventures and mysteries. Regardless of the situation, he manages to come out on top, either by spending lots of money, or by using incredibly expensive gadgets.</p>"
The Trump Show,English,(),"<p>Four years after Donald Trump unexpectedly became president of the most powerful nation on earth, <b>The Trump Show</b> tells the inside story of this most extraordinary presidency, with contributions from key players including Steve Bannon, Sean Spicer, Omarosa Manigault Newman and Anthony Scaramucci.</p>"
Deliver Me,English,(),"<p>The balance between work and family is never easy, but when you are an OB/GYN dealing with high-risk pregnancies, every day is unique. Meet doctors Alane Park, Yvonne Bohn and Allison Hill -- friends, mothers and partners in a busy OB/GYN practice. Viewers will have a front-row seat for all the drama, emotion and challenges -- both professional and personal -- the doctors confront every day.</p>"
Our Living World,English,"('Family', 'Nature')","<p>This stunning nature series narrated by Cate Blanchett explores the intelligence, resourcefulness and interconnectedness of life on our planet.</p>"
Killer Inside: The Mind of Aaron Hernandez,English,"('Crime',)",<p><b>Killer Inside: The Mind of Aaron Hernandez</b> examines what led to the murderous fall and shocking death of former NFL superstar Aaron Hernandez.</p>
You Are What You Eat,English,(),"<p>ViacomCBS-owned UK terrestrial Channel 5 is rebooting healthy-eating format <b>You Are What You Eat</b>, which originally aired on rival network Channel 4.</p><p>Red Arrow Studios-backed UK prodco CPL Productions is working on a 6×60' reboot of the show, fronted by talkshow host Trisha Goddard.</p><p>In the format, a team of experts as motivate two unhealthy eaters to change their lifestyles and become the healthiest versions of themselves.</p><p>In the revamped version, the experts will not simply be looking at weight loss, but also factors including sleep and anxiety, to determine a healthy lifestyle.</p>"
Catching Killers,English,"('Crime',)","<p>It's harder and harder to get away with murder. Today, detectives are convicting more criminals than ever before, thanks to forensic science. Fingerprints, bones, even insects are now forms of indisputable evidence, but that wasn't always the case. Revisit history's dramatic murder cases and see how forensic tools are changing crime solving.</p>"
The Ripper,English,"('Crime',)","<p>For five years, between 1975 to 1980, the Yorkshire Ripper murders cast a dark shadow over the lives of women in the North of England. 13 women were dead and the police seemed incapable of catching the killer. No one felt safe - and every man was a suspect.</p>"
Benidorm,English,"('Comedy',)",<p>Comedy series following regular and first-time holidaymakers as they visit the Solana Resort in Benidorm. All the guests have one thing in common: a quest to get value for their hard-earned Euros.</p>
After Life,English,"('Drama', 'Comedy')","<p><b>After Life</b> centers on Tony, who had a perfect life. But after his wife Lisa suddenly dies, Tony changes. After contemplating taking his own life, he decides instead to live long enough to punish the world by saying and doing whatever he likes from now on. He thinks it's like a Super Power — not caring about himself or anyone else — but it turns out to be tricky when everyone is trying to save the nice guy they used to know.</p>"
Love Rat,English,"('Drama', 'Thriller')","<p><b>Love Rat</b> follows recently divorced Emma as she enjoys a whirlwind holiday romance with charming hotel proprietor, Niko, on the paradise island of Cyprus. When she realises that Niko and his partner-in-crime George have scammed her out of her life savings, she embarks on a dangerous mission to get her money back aided by ex-husband Pete.</p>"
Jimmy Savile: A British Horror Story,English,"('Crime',)",<p>TV star Jimmy Savile charmed a nation with his eccentricity and philanthropy. But sexual abuse allegations expose a shocking unseen side of his persona.</p>
Izzy's Koala World,English,"('Family', 'Nature')",<p>Young koala caretaker Izzy Bee and her family rescue cuddly creatures in need and help them head back into the wild on Australia's Magnetic Island.</p>
Good Talk with Anthony Jeselnik,English,"('Comedy',)","<p>In <b>Good Talk</b>, Jeselnik switches gears from his signature acerbic style for tongue-in-cheek interviews with his fellow comedians about their careers, influences and what it's like to live in his massive shadow. Jeselnik and his guests center their extremely funny conversations around stand up, stories and bits and participate in elegantly bizarre studio segments.</p>"
Dee & Friends in Oz,English,"('Adventure', 'Fantasy', 'Music')","<p><b>Dee &amp; Friends in Oz</b> is a fantasy adventure musical for preschoolers. A young girl named Dee discovers a wonderful magical land of Oz, where she meets new friends and is challenged to save the day, and save Oz!</p>"
True Tunes,English,"('Children', 'Music')","<p>True and her friends are dropping sweet, silly beats with modern music videos set to classic nursery rhyme songs.</p>"
This Is Us,English,"('Drama', 'Comedy', 'Romance')","<p>Sometimes life will surprise you. This refreshingly honest and provocative series follows a unique ensemble whose paths cross and their life stories intertwine in curious ways. We find several of them share the same birthday, and so much more than anyone would expect. From the writer and directors of ""Crazy, Stupid, Love"" comes a smart, modern dramedy that will challenge your everyday presumptions about the people you think you know.</p>"
Find Me in Paris,English,"('Drama', 'Fantasy', 'Romance')","<p><b>Find Me in Paris</b> is centering on Lena Grisky, a typical teenage girl attending the Paris Opera Ballet School, the most elite dance institution in the world. But Lena has a secret. She's a time traveler, accidentally propelled from 1905 into the 21st century by her boyfriend Henri. Stuck in the past, Henri does everything he can to find a way to bring her home. Meanwhile, Lena tries to fit in, juggling high school and rigorous ballet training. She even becomes a member of an elite underground dance crew, the BLOK, all while trying to keep her secret.</p>"
Mad Men,English,"('Drama',)","<p>The series revolves around the conflicted world of Don Draper, the biggest ad man in the business, and his colleagues at the Sterling Cooper Draper Pryce Advertising Agency. As Don makes the plays in the boardroom and the bedroom, he struggles to stay a step ahead of the rapidly changing times and the young executives nipping at his heels. The series also depicts authentically the roles of men and women in this era while exploring the true human nature beneath the guise of 1960s traditional family values.</p>"
A Different World,English,"('Comedy',)","<p>Denise Huxtable enters her sophomore year at Hillman, alma mater of her parents and grandfather, where she moves into Gilbert Hall and shares a dorm room with 26-year-old Jaleesa Vinson and talkative new roommate Maggie Lauten.</p>"
The Bureau of Magical Things,English,"('Drama', 'Children', 'Fantasy')","<p><b>The Bureau of Magical Things</b> is a children's fantasy drama told through the eyes of a teenage girl called Kyra who uncovers a magical world.</p><p>Once upon a time the human world and the world of magic - called the fae world - existed in harmony. But as technology advanced, the fae world was pushed back. Faeries and other magical creatures became endangered species. Now someone wants to change that and restore magic to its rightful place - no matter the cost. Kyra and Peter must solve the mystery of who that enigmatic figure is and how they will achieve their goal. The investigation leads them to uncover secrets in both the human and fae worlds that no one could have imagined.</p>"
WHAT / IF,English,"('Drama', 'Thriller')","<p>Social thriller <b>WHAT / IF</b> explores the ripple effects of what happens when acceptable people start doing unacceptable things. Each season will tackle a different morality tale inspired by culturally consequential source material, and the power of a single fateful decision to change the trajectory of an entire life.</p>"
Troy,English,(),"<p>Magician, <b>Troy</b> heads to the streets around him to perform large-scale stunts, unexpected pranks and surprise demonstrations.</p>"
Starting 5,English,"('Sports',)","<p>This captivating sports series follows Jimmy Butler, Anthony Edwards, LeBron James, Domantas Sabonis and Jayson Tatum throughout the 2023-24 NBA season.</p>"
Riviera,English,"('Drama', 'Crime', 'Thriller')","<p>Georgina is newly married to billionaire Constantine Clios when he is killed in a yacht explosion. She is shocked to discover the fortune that maintained his immaculate, ever-so-tasteful lifestyle is tainted with dishonesty, double-dealing, crime, and ultimately murder.</p><p>Helped by Constantine's first wife, Georgina will undergo an education in lying, double-dealing, outright theft and shocking criminality. She has to learn fast to maintain the Clios mansion and save the family from its enemies and from itself. Hiding her bloodstained fingers inside Chanel gloves, she soon reveals herself to be an A-plus student in the brutal art of survival.</p>"
My Lover My Killer,English,"('Crime',)","<p><b>My Lover My Killer</b> tells the stories of those who paid the ultimate price for offending an obsessive lover. Each murder story is told with key interviews from those closest to the case, including testimony from family and friends of the victims, and the investigating officers who tracked down the killers.</p><p>These tangled tales of forbidden love, lust, jealousy and deceit, have all the key ingredients of a classic murder story. </p>"
Blue Ribbon Baking Championship,English,"('Food',)","<p>Blue ribbon-winning bakers from state fairs across the US face off for the first time in an epic baking showdown to win top honors and $100,000.</p>"
That Dirty Black Bag,English,"('Western',)","<p>The story describes the 8-day clash between Arthur McCoy, an incorruptible sheriff with a troubled past, and Red Bill, an infamous, solitary bounty hunter known for decapitating his victims and stuffing their heads into a dirty black bag, because, as he puts it, ‘Heads weigh less than bodies.'</p>"
The Capture,English,"('Drama', 'Thriller', 'Espionage')","<p>While disentangling misinformation from truth in an era of deepfakes, alternative facts and ubiquitous surveillance, investigations of damning video evidence calls into question whether seeing is deceiving.</p>"
Hilda,English,"('Adventure', 'Children', 'Fantasy')","<p><b>Hilda</b> follows the adventures of a fearless blue-haired girl as she travels from her home in a vast magical wilderness full of elves and giants, to the bustling city of Trolberg, where she meets new friends and mysterious creatures who are stranger - and more dangerous - than she ever expected.</p>"
Spirit Rangers,English,"('Adventure', 'Children', 'Music')","<p>Inspired by stories from Native American tribes and the majestic landscapes of national parks of America, <b>Spirit Rangers</b> explores the adventure and beauty of nature through the eyes of Kodi, Summer and Eddy Skycedar, Chumash/Cowlitz siblings who share a secret. This trio of kids are ""Spirit Rangers"" who help protect the land and spirits of the national park that they call home in California Taking on new perspectives as a grizzly bear cub, red-tailed hawk and spunky turtle, the Skycedar kids take on every challenge — from helping a lost thunderbird to waking a sleepy sun — with courage and compassion.</p>"
Fear the Walking Dead,English,"('Drama', 'Action', 'Horror')","<p>Living in the same universe as <i>The Walking Dead</i>, <b>Fear the Walking Dead </b>is a gritty drama that explores the onset of the undead apocalypse through the lens of a fractured family. Set in a city where people come to escape, shield secrets, and bury their pasts, a mysterious outbreak threatens to disrupt what little stability high school guidance counselor Madison Clark and English teacher Travis Manawa have managed to assemble. The everyday pressure of blending two families while dealing with resentful, escapist, and strung out children takes a back seat when society begins to break down. A forced evolution, a necessary survival of the fittest takes hold, and our dysfunctional family must either reinvent themselves or embrace their darker histories.</p>"
The A List,English,"('Drama', 'Mystery', 'Supernatural')","<p><b>The A List</b> explores universal teen concerns of friendship, romance, loyalty and betrayal in an intense powerful and addictive drama. It is set in what appears to be an idyllic island summer camp, but dark secrets will turn the holiday of lifetime into a twisted nightmare.</p>"
The Fall,English,"('Drama', 'Crime', 'Thriller')","<p>This gripping psychological thriller forensically examines the lives of two hunters; one a serial killer that stalks his victims at random, and the other a high-powered detective superintendent brought in to catch him.</p>"
Earth to Luna!,English,"('Comedy', 'Adventure', 'Children')","<p>What adults often take for granted in life's minutiae frequently delights children. One of those kids is Luna, 6, for whom the world is a giant laboratory, filled with opportunities to learn more about what things are, and why and how scientific actions take place. Luna's passion for science prompts her exploration of the world with energy and enthusiasm. Little brother Jupiter and pet ferret Clive are by her side as the inquisitive girl pursues answers to her specific questions on <b>Earth to Luna!</b>.</p>"
The I-Land,English,"('Adventure', 'Science-Fiction', 'Mystery')","<p>When ten people wake up on a treacherous island with no memory of who they are or how they got there, they set off on a trek to try to get back home. They soon discover this world is not as it seems. Faced with the island's extreme psychological and physical challenges, they must rise to their better selves -- or die as their worst ones.</p>"
Zoey 101,English,"('Drama', 'Comedy', 'Family')","<p>Pacific Coast Academy, an all boys boarding school is accepting female students for the first time since the school was established. Zoey's little brother Dustin is currently a student there. Zoey decides to be one of the first girls to become a student at PCA. This is very exciting, but also very scary; fitting in at a new school is hard enough, but going away to boarding school and living on your own at age 13 can get crazy! Especially when the girls are heavily outnumbered by the boys...</p>"
Dew Drop Diaries,English,"('Comedy', 'Adventure', 'Children')","<p>From finding lost items to cleaning up messes, three fairies in training love looking after kids in their care as they work toward earning their wings.</p>"
Top Secret UFO Projects Declassified,English,(),"<p><b>Top Secret UFO Projects Declassified</b> will show how, despite repeated denials, the significance of UFO sightings has been analysed and discussed at the highest level of government in the UK, the United States and the former Soviet Union since the end of World War II.</p><p>With interest in UFO phenomena on the rise in recent years, this series provides new insight into the UFO monitoring programmes the world's leading governments have sought to hide and shocking facts about the real extent of reported extra-terrestrial contacts.</p>"
Super PupZ,English,"('Comedy', 'Children')",<p>Four superpowered pups work as a pack to help their new kid pals — and a furry alien friend — in a cute and cuddly cosmic adventure!</p>
LEGO Friends: The Next Chapter,English,(),"<p>A decade on from the launch of LEGO® Friends, the LEGO Group has re-imagined the Friends Universe, with the introduction of new diverse characters, to enable more children to feel represented during play. This next generation is designed to celebrate diverse friendships in the modern world.</p>"
The Hollow,English,"('Action', 'Children')","<p>Perplexing mystery awaits viewers in the new animated-action series, <b>The Hollow</b>, a Slap Happy Cartoons Inc. production. The series opens with three teens, Adam, Kai and Mira, as they awake confused and alone in an underground bunker. Wandering through a maze of bizarre towns, odd time portals, dangerous beasts and quirky characters, the three strangers are forced to band together as they search for a way back home. Members around the world can look forward to thrills and intrigue when <i>The Hollow</i> debuts exclusively on Netflix in 2018.</p>"
Thomas & Friends,English,"('Children',)","<p><b>Thomas &amp; Friends</b> is a British children's television series, which had its first broadcast on the ITV network on 9 October 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.</p>"
The District Nurse,English,"('Drama', 'Medical')","<p>1930s period drama following the life of Megan Roberts, a forward thinking district nurse in the South Wales mining town of Pencwm.</p>"
Fear City: New York vs The Mafia,English,"('Crime', 'History')","<p>Five Mafia families ruled New York with a bloody fist in the 1970s and '80s, until a group of federal agents tried the unthinkable: taking them down.</p>"
The End of the F***ing World,English,"('Drama', 'Comedy')","<p>Based on the award-winning series of comic books by Charles Forsman, <b>The End of the F***ing World </b>invites viewers into the dark and confusing lives of teen outsiders James and Alyssa as they embark on a road trip to find Alyssa's father, who left home when she was a child.</p>"
Killer Sally,English,"('Crime',)","<p>Interviews with friends, family and Sally McNeil herself chart a bodybuilding couple's rocky marriage — and its shocking end in a Valentine's Day murder.</p>"
WWE SmackDown Pre-Show,English,(),"<p>On <b>WWE SmackDown Pre-Show</b>, Renee Young and WWE Superstar panelists give insight and cover events leading up to WWE SmackDown LIVE!</p>"
Care Bears & Cousins,English,"('Adventure', 'Children', 'Fantasy')","<p>The whole huggable gang is back, bringing tales of caring and sharing to a new generation. And now the Care Bear Cousins are here to join the fun!</p>"
The Party,English,(),"<p>When a double-dealing newbie joins their D&amp;D campaign, five friends are jolted out of their fantasy world. Nat 20 highs meet critical lows in this ensemble comedy series.</p>"
I Think You Should Leave with Tim Robinson,English,"('Comedy',)",<p>There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.</p>
Drake & Josh,English,"('Comedy', 'Family')","<p>Fifteen-year-old Drake and Josh are schoolmates, but not close friends. As a matter of fact, Drake thinks Josh is a bit of a goof. Imagine his shock when he discovers this goof is about to become his stepbrother and new roommate when his mother marries Josh's father!</p>"
Meet Ricky Gervais,English,"('Comedy',)","<p>Off-beat chat show hosted by Ricky Gervais. Showing a total lack of both fear and tact, Ricky asks celebrities the questions other interviewers probably wouldn't, and definitely shouldn't...</p>"
Ronny Chieng: International Student,English,"('Comedy',)","<p><b>Ronny Chieng: International Student</b> is the story of Ronny Chieng, a Malaysian student who has travelled to Australia to study law. All he has to do is study, get good marks and make his Mom proud. Well, that was the plan anyway.</p>"
Below Deck,English,"('Drama', 'Travel')","<p>The upstairs and downstairs worlds collide when this young and single crew of ""yachties"" live, love and work together on board a luxurious mega yacht while tending to the ever-changing needs of their wealthy, demanding charter guests on <b>Below Deck</b>.</p>"
Physical,English,"('Drama', 'Comedy')",<p><b>Physical</b> is about a struggling housewife living in a '80s California beach community who finds an unconventional path to power through an unlikely source - the world of aerobics.</p>
Food Wars,English,"('Food',)","<p>All over the US, locals argue over who makes the best version of the iconic dishes that define their towns. Host Camille Ford is going to settle the matter once and for all. In each city, she'll pit 2 food rivals against each other in a head-to-head competition.</p>"
Greenleaf,English,"('Drama',)","<p>The drama series <b>Greenleaf</b> takes viewers into the unscrupulous world of the Greenleaf family and their sprawling Memphis megachurch, where scandalous secrets and lies are as numerous as the faithful. Born of the church, the Greenleaf family love and care for each other, but beneath the surface lies a den of iniquity - greed, adultery, sibling rivalry and conflicting values - that threatens to tear apart the very core of their faith that holds them together.</p>"
WWII Battles in Color,English,"('War', 'History')","<p>World War II was marked by epic battles that decided the fate of nations and changed the course of history. From Germany's Blitzkrieg attacks on France, which launched the European campaign, to the Allied invasion of Berlin, which signaled its violent end, we bring these seminal conflicts to life through never-before-seen colorized combat footage. <b>WWII Battles in Color</b> puts you in the center of the action through rarely-scene films from the frontline, plus personal memoirs and oral histories from both sides of the battle lines.</p>"
Another Life,English,"('Drama', 'Science-Fiction')","<p><b>Another Life</b> centers on astronaut Niko Breckinridge who is focused on searching for alien intelligence. She leads a crew on a mission to explore the genesis of an alien artifact. As Niko and her young crew investigate, they face unimaginable danger on what might very well be a one-way mission.</p>"
Preacher,English,"('Drama', 'Western', 'Supernatural')","<p>Based on the popular cult comic book franchise of the same name, <b>Preacher</b> is a supernatural, twisted and darkly comedic drama that follows a West Texas preacher named Jesse Custer, who is inhabited by a mysterious entity that causes him to develop a highly unusual power. Jesse, his badass ex-girlfriend Tulip and an Irish vagabond named Cassidy come together, and when they do, they are thrust into a crazy world populated by a cast of characters from Heaven, Hell and everywhere in between.</p>"
Sullivan's Crossing,English,"('Drama', 'Romance')","<p>After Neurosurgeon Maggie Sullivan's personal and professional life are thrown into turmoil she returns home to Sullivan's Crossing. While there, Maggie is forced to navigate her complicated present while confronting the painful past she has chosen to ignore for years.</p>"
Partner Track,English,"('Drama',)","<p>Centers on Ingrid Yun, an idealistic young lawyer, struggles with her moral compass and her passions as she fights to climb the partner track at an elite New York City law firm.</p>"
Good Witch,English,"('Family', 'Romance', 'Mystery')","<p>Cassie Nightingale, Middleton's favorite enchantress, and her young-teenage daughter Grace, who shares that same special intuition as her mom, welcome Dr. Sam Radford and his son to town. When the New York transplants move in next to the Grey House, they are immediately spellbound by the mother-daughter duo next door, but Sam and Cassie quickly find they may not see eye to eye. With her signature charm, Cassie attempts to bring everyone together, ensuring all of Middleton is in for new changes, big surprises and, of course, a little bit of magic!</p><p>Based on the <b>Good Witch</b> series of cable movies.</p>"
Owning Manhattan,English,(),<p>Real estate mogul Ryan Serhant leads one of the biggest firms in New York and pushes his agents to greatness while tackling the most expensive listings.</p>
The Magic School Bus Rides Again,English,"('Comedy', 'Adventure', 'Children')","<p>Ms. Frizzle's kid sister Fiona takes the wheel at Walkerville Elementary, leading the class on wild adventures packed with science-fueled fun.</p>"
The Spy,English,"('Drama', 'Thriller', 'Espionage')","<p><b>The Spy</b> tells the story of legendary Israeli spy Eli Cohen. Eli Cohen lived in Damascus undercover in the beginning of the '60s, spying for Israel. He managed to embed himself into Syrian high society and rise through the ranks of their politics until he was uncovered by the Syrian regime, sentenced to death and publicly hanged in a Damascus square in 1965. Cohen is considered a national hero in Israel. His actions, connections and immense sacrifice have had lasting consequences, shaping the Middle East of today.</p>"
Charlie's Colorforms City,English,"('Children',)","<p>Charlie introduces the audience to a colorful cast of characters, imaginative shape-filled story expeditions, and unpredictable journeys.</p>"
Scandal,English,"('Drama', 'Thriller')","<p>Everyone has secrets… and Olivia Pope has dedicated her life to protecting and defending the public images of the nation's elite by keeping those secrets under wraps. Pope's team are at the top of their game when it comes to getting the job done for their clients, but it becomes apparent that these ""gladiators in suits"", who specialize in fixing the lives of other people, have trouble fixing those closest at hand -- their own.</p>"
Bake Squad,English,"('Food',)",<p>Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.</p>
The Tailor of Sin City,English,"('Crime',)","<p><b>The Tailor of Sin City </b>tells the story of a 1970s fashion icon turned drug kingpin caught between his loyalties to the Mob, the Colombian cartel, the FBI, and his 7 wives.</p>"
Young Wallander,English,"('Drama', 'Crime', 'Mystery')","<p>In a bold and original new story set in contemporary Sweden, <b>Young Wallander</b> sees Henning Mankell's iconic detective Kurt Wallander investigate his gripping first case. The story focuses on the formative experiences – professional and personal - faced by Kurt as a recently graduated police officer in his early twenties.</p>"
Dive Club,English,"('Drama', 'Adventure', 'Mystery')",<p>A feisty group of teenage divers uncover their Australian coastal town's darkest secrets as they investigate the disappearance of their best friend.</p>
Johnny Test,English,"('Comedy', 'Science-Fiction')","<p>Imagine having two twin brainiac sisters who are 13 years old and can bring up out-of-this-world experiments. Well lucky for <b>Johnny Test</b> and his super talking dog, Dukey. They can. Super-powers, gadgets that can rewind a person or turning things into gold... for Johnny the possibilities are endless. But whenever there is trouble, Johnny has to go back home before 5 P.M. for meatloaf.</p>"
Brassic,English,"('Drama', 'Comedy', 'Crime')","<p><b>Brassic </b>is about Vinnie, a man from the north of England with bipolar disorder and his best mate Dylan, whose girlfriend Erin decides to leave town. Dylan is faced with the impossible decision between a fresh start with the love of his life or staying behind with his inseparable gang of mates that he can't live without.</p>"
